elapsed_min,km,pace,hr,cad,power,alt,moved_m,grade_pct,ngp
34.0,3.92,11:56,116,98,80,263.4,45,-26.5,8:44
34.5,3.99,7:53,126,88,130,253.8,66,-17.7,7:55
35.0,4.03,10:29,140,71,193,258.9,45,6.6,7:01
35.5,4.06,14:58,145,53,137,265.0,31,19.4,6:29
36.0,4.09,16:27,146,49,152,272.1,30,22.9,6:13
36.5,4.12,18:15,145,57,142,279.2,24,25.9,6:11
37.0,4.14,19:34,146,50,152,287.3,25,31.4,5:29
37.5,4.17,18:20,149,49,165,295.8,27,30.7,5:14
38.0,4.2,17:38,152,51,157,304.9,34,33.1,4:41
38.5,4.23,16:25,152,53,132,311.5,26,23.0,6:11
39.0,4.27,14:35,149,57,159,318.7,41,21.7,6:03
39.5,4.36,5:42,156,92,182,319.9,92,4.9,4:45
40.0,4.46,4:50,163,91,266,318.2,99,-3.1,5:12
40.5,4.54,5:42,164,90,221,321.7,76,4.4,4:49
